"10317.000097730.54640",5011,11,5690,2980,990,34,524,292,54,1,300,169,4,68,0,1,11,1,22,13,422,1,82,1,1,1,93,0,0,136,0,0,62,0,1,1,2,24,1,0
"10317.000068014.48085",4496,108,6664,7142,1350,1,350,0,133,0,418,58,1490,175,0,0,62,1,87,1,148,8,21,0,212,1,23,0,91,143,3,2,35,14,1,0,1,0,0,0
"10317.000049989.48008",449,11,1013,325,529,2788,1,558,7,11,48,0,0,13,0,15,0,76,6,67,176,5,27,5,3,2,28,0,1,18,0,5,8,0,0,8,35,0,2,0
"10317.000050249.47999",999,33,5784,1012,936,3050,76,414,86,18,293,78,48,45,499,0,5,0,25,157,67,6,21,0,9,5,60,1,1,123,2,0,95,5,0,501,241,0,1,101
"10317.000108473.71225",16309,445,11389,12171,4146,155,1207,30,639,1,493,400,2,320,17,0,28,13,99,142,263,68,7,0,0,25,400,1,4,132,0,73,195,0,0,0,280,0,0,0
"10317.000074219.54458",5720,45,719,555,52,40788,57,214,108,1,214,17,5,74,22,0,10,8,23,4,838,91,0,1,1,3,70,0,0,31,0,1,89,0,1,0,1,0,0,0
"10317.000101128.56194",733,12890,296,1268,46,73,448,18,312,0,50,22,1,325,0,0,18,2,18,0,58,0,0,1,0,154,10,0,0,27,151,0,40,1,3,0,0,0,0,0
"10317.000069160.48085",11261,300,1089,1566,128,2700,41,2,170,100,658,21,30,138,0,0,4,0,11,0,682,961,3,0,1,0,52,0,1,37,1,3,2,4,0,0,0,0,0,1
"10317.000062084.48049",2983,3,15,11,3,5691,1116,1,0,0,2,1,4,71,0,0,8,0,0,0,2,0,0,0,0,0,33,1,954,0,208,10,0,0,2,0,1,0,0,0
"10317.000084558.66115",224748,965,57783,94876,29605,69102,1133,30614,3115,5113,11372,235,469,4834,180,7,1890,4893,880,637,68333,6663,40,9,23,52,606,15,553,530,40,46,4702,138,0,52,6115,755,0,85
"10317.000032732.48015",1474,4,3901,3802,1318,14,259,426,98,51,396,0,0,23,0,0,6,0,17,10,366,159,19,0,0,2,7,3,16,152,1,4,18,2,4,8,103,0,0,11
"10317.000076731.76893",449,623,919,996,930,8864,94,22,47,0,24,41,0,7,1,10,0,119,6,36,388,172,17,0,4,29,14,2,13,24,0,0,145,1,0,1,405,0,0,0
"10317.000069756.48064",322,7,835,321,292,10101,86,4,5,11,24,39,2,3273,335,0,4,1,1,5,39,4,1,2,9,2,10,13,0,7,0,1,14,1,0,172,5,0,1,0
"10317.000052035.48064",40,61,36,273,10,51,314,2,44,0,12,1,0,1,23,67,6797,0,12,0,0,2,3,10378,45,3262,0,9,1,3,0,0,0,250,1116,2,2,0,1906,1
"10317.000102937.64038",1278,21,755,163,338,13009,291,0,6,0,7,1,36,12,3,2,40,3,0,0,39,58,0,3,26,4,8,1,4,47,0,0,1,3,0,1,2,0,0,0
